,Dataset,Model,Split,TN,FP,FN,TP,Accuracy,Precision,Recall,F1 Score
68,D1,Sigmoid SVM,Validation,36,18,14,22,0.6444444444444445,0.55,0.6111111111111112,0.5789473684210527
69,D1,Logistic Regression,Validation,37,17,8,28,0.7222222222222222,0.6222222222222222,0.7777777777777778,0.691358024691358
70,D1,Random Forrest,Validation,38,16,8,28,0.7333333333333333,0.6363636363636364,0.7777777777777778,0.7
71,D1,Gradient Boost,Validation,39,15,10,26,0.7222222222222222,0.6341463414634146,0.7222222222222222,0.6753246753246753
72,D1,KNN,Validation,28,26,6,30,0.6444444444444445,0.5357142857142857,0.8333333333333334,0.6521739130434783
73,D1,Decision Tree,Validation,39,15,12,24,0.7,0.6153846153846154,0.6666666666666666,0.64
74,D1,Bagging,Validation,41,13,11,25,0.7333333333333333,0.6578947368421053,0.6944444444444444,0.6756756756756757
75,D1,Ada Boost,Validation,32,22,9,27,0.6555555555555556,0.5510204081632653,0.75,0.6352941176470588
76,D1,Navie Bayes,Validation,34,20,8,28,0.6888888888888889,0.5833333333333334,0.7777777777777778,0.6666666666666666
77,D1,Extra Tree,Validation,44,10,10,26,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.7222222222222222
78,D2,Linear SVM,Validation,37,17,14,22,0.6555555555555556,0.5641025641025641,0.6111111111111112,0.5866666666666667
79,D2,Polynomial SVM,Validation,40,14,18,18,0.6444444444444445,0.5625,0.5,0.5294117647058824
80,D2,RBF SVM,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
81,D2,Sigmoid SVM,Validation,30,24,17,19,0.5444444444444444,0.4418604651162791,0.5277777777777778,0.4810126582278481
82,D2,Logistic Regression,Validation,37,17,13,23,0.6666666666666666,0.575,0.6388888888888888,0.6052631578947368
83,D2,Random Forrest,Validation,39,15,16,20,0.6555555555555556,0.5714285714285714,0.5555555555555556,0.5633802816901409
84,D2,Gradient Boost,Validation,38,16,13,23,0.6777777777777778,0.5897435897435898,0.6388888888888888,0.6133333333333333
85,D2,KNN,Validation,39,15,18,18,0.6333333333333333,0.5454545454545454,0.5,0.5217391304347826
86,D2,Decision Tree,Validation,39,15,19,17,0.6222222222222222,0.53125,0.4722222222222222,0.5
87,D2,Bagging,Validation,33,21,18,18,0.5666666666666667,0.46153846153846156,0.5,0.48
88,D2,Ada Boost,Validation,41,13,17,19,0.6666666666666666,0.59375,0.5277777777777778,0.5588235294117647
89,D2,Navie Bayes,Validation,12,42,9,27,0.43333333333333335,0.391304347826087,0.75,0.5142857142857142
90,D2,Extra Tree,Validation,39,15,15,21,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334
91,A1,Linear SVM,Test,14,11,3,17,0.6888888888888889,0.6071428571428571,0.85,0.7083333333333334
92,A1,Polynomial SVM,Test,7,18,1,19,0.5777777777777777,0.5135135135135135,0.95,0.6666666666666666
93,A1,RBF SVM,Test,13,12,2,18,0.6888888888888889,0.6,0.9,0.72
94,A1,Sigmoid SVM,Test,17,8,5,15,0.7111111111111111,0.6521739130434783,0.75,0.6976744186046512
95,A1,Logistic Regression,Test,14,11,3,17,0.6888888888888889,0.6071428571428571,0.85,0.7083333333333334
96,A1,Random Forrest,Test,16,9,4,16,0.7111111111111111,0.64,0.8,0.7111111111111111
97,A1,Gradient Boost,Test,20,5,5,15,0.7777777777777778,0.75,0.75,0.75
98,A1,KNN,Test,13,12,5,15,0.6222222222222222,0.5555555555555556,0.75,0.6382978723404256
99,A1,Decision Tree,Test,20,5,5,15,0.7777777777777778,0.75,0.75,0.75
100,A1,Bagging,Test,19,6,4,16,0.7777777777777778,0.7272727272727273,0.8,0.7619047619047619
101,A1,Ada Boost,Test,16,9,3,17,0.7333333333333333,0.6538461538461539,0.85,0.7391304347826086
102,A1,Navie Bayes,Test,13,12,2,18,0.6888888888888889,0.6,0.9,0.72
103,A1,Extra Tree,Test,16,9,4,16,0.7111111111111111,0.64,0.8,0.7111111111111111
104,A2,Linear SVM,Test,16,9,9,11,0.6,0.55,0.55,0.55
105,A2,Polynomial SVM,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
106,A2,RBF SVM,Test,17,8,8,12,0.6444444444444445,0.6,0.6,0.6
107,A2,Sigmoid SVM,Test,18,7,9,11,0.6444444444444445,0.6111111111111112,0.55,0.5789473684210527
108,A2,Logistic Regression,Test,16,9,9,11,0.6,0.55,0.55,0.55
109,A2,Random Forrest,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
110,A2,Gradient Boost,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
111,A2,KNN,Test,17,8,8,12,0.6444444444444445,0.6,0.6,0.6
112,A2,Decision Tree,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
113,A2,Bagging,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
114,A2,Ada Boost,Test,15,10,9,11,0.5777777777777777,0.5238095238095238,0.55,0.5365853658536586
115,A2,Navie Bayes,Test,5,20,4,16,0.4666666666666667,0.4444444444444444,0.8,0.5714285714285714
116,A2,Extra Tree,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
117,B1,Linear SVM,Test,15,10,4,16,0.6888888888888889,0.6153846153846154,0.8,0.6956521739130435
118,B1,Polynomial SVM,Test,10,15,1,19,0.6444444444444445,0.5588235294117647,0.95,0.7037037037037037
119,B1,RBF SVM,Test,12,13,2,18,0.6666666666666666,0.5806451612903226,0.9,0.7058823529411765
120,B1,Sigmoid SVM,Test,17,8,5,15,0.7111111111111111,0.6521739130434783,0.75,0.6976744186046512
121,B1,Logistic Regression,Test,15,10,3,17,0.7111111111111111,0.6296296296296297,0.85,0.723404255319149
122,B1,Random Forrest,Test,17,8,4,16,0.7333333333333333,0.6666666666666666,0.8,0.7272727272727273
123,B1,Gradient Boost,Test,19,6,4,16,0.7777777777777778,0.7272727272727273,0.8,0.7619047619047619
124,B1,KNN,Test,14,11,6,14,0.6222222222222222,0.56,0.7,0.6222222222222222
125,B1,Decision Tree,Test,20,5,5,15,0.7777777777777778,0.75,0.75,0.75
126,B1,Bagging,Test,19,6,4,16,0.7777777777777778,0.7272727272727273,0.8,0.7619047619047619
127,B1,Ada Boost,Test,19,6,4,16,0.7777777777777778,0.7272727272727273,0.8,0.7619047619047619
128,B1,Navie Bayes,Test,13,12,2,18,0.6888888888888889,0.6,0.9,0.72
129,B1,Extra Tree,Test,17,8,3,17,0.7555555555555555,0.68,0.85,0.7555555555555555
130,B2,Linear SVM,Test,16,9,9,11,0.6,0.55,0.55,0.55
131,B2,Polynomial SVM,Test,20,5,13,7,0.6,0.5833333333333334,0.35,0.4375
132,B2,RBF SVM,Test,17,8,8,12,0.6444444444444445,0.6,0.6,0.6
133,B2,Sigmoid SVM,Test,17,8,6,14,0.6888888888888889,0.6363636363636364,0.7,0.6666666666666666
134,B2,Logistic Regression,Test,18,7,8,12,0.6666666666666666,0.631578947368421,0.6,0.6153846153846154
135,B2,Random Forrest,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
136,B2,Gradient Boost,Test,17,8,8,12,0.6444444444444445,0.6,0.6,0.6
137,B2,KNN,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
138,B2,Decision Tree,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
139,B2,Bagging,Test,19,6,10,10,0.6444444444444445,0.625,0.5,0.5555555555555556
140,B2,Ada Boost,Test,15,10,8,12,0.6,0.5454545454545454,0.6,0.5714285714285714
141,B2,Navie Bayes,Test,5,20,4,16,0.4666666666666667,0.4444444444444444,0.8,0.5714285714285714
142,B2,Extra Tree,Test,17,8,9,11,0.6222222222222222,0.5789473684210527,0.55,0.5641025641025641
143,C,Linear SVM,Test,18,7,9,11,0.6444444444444445,0.6111111111111112,0.55,0.5789473684210527
144,C,Polynomial SVM,Test,18,7,9,11,0.6444444444444445,0.6111111111111112,0.55,0.5789473684210527
145,C,RBF SVM,Test,18,7,8,12,0.6666666666666666,0.631578947368421,0.6,0.6153846153846154
146,C,Sigmoid SVM,Test,18,7,9,11,0.6444444444444445,0.6111111111111112,0.55,0.5789473684210527
