Metric,Model1,Model2,T-statistic,p-value,Significant (1%)
Accuracy,RBF SVM,Decsion Tree,0.5423261445466397,0.6108811833962561,False
Accuracy,RBF SVM,Bagging,0.1428571428571423,0.8919814779905634,False
Accuracy,RBF SVM,Adaboost,0.27735009811261496,0.7926128706672517,False
Accuracy,RBF SVM,Sigmoid SVM,2.0323471117426504,0.09781807921564122,False
Accuracy,RBF SVM,Navie Bayse,1.1309596665849135,0.3093829752204216,False
Accuracy,Logistic Regression,Random Forest,-2.101441979727393,0.08958917392934111,False
Accuracy,Logistic Regression,Gradient Boosting,-4.02938643668981,0.010027273612010088,False
Accuracy,Logistic Regression,KNN,0.4357446703305942,0.6811920172097927,False
Accuracy,Logistic Regression,Decsion Tree,-2.1999999999999993,0.0790938979031824,False
Accuracy,Logistic Regression,Bagging,-1.8571428571428583,0.12241950226057106,False
Accuracy,Logistic Regression,Adaboost,-2.1483446221182976,0.08442154293648532,False
Accuracy,Logistic Regression,Sigmoid SVM,0.8811342210628021,0.4185802320330535,False
Accuracy,Logistic Regression,Navie Bayse,-0.4596385597769222,0.6650694104142114,False
Accuracy,Random Forest,Gradient Boosting,-2.7386127875258293,0.040859403859295894,False
Accuracy,Random Forest,KNN,1.9878664198647265,0.10353187917701788,False
Accuracy,Random Forest,Decsion Tree,1.6124532318559704e-15,0.9999999999999988,False
Accuracy,Random Forest,Bagging,-0.5976143046671966,0.5761317257177405,False
Accuracy,Random Forest,Adaboost,-0.307147558416973,0.7711118563588958,False
Accuracy,Random Forest,Sigmoid SVM,2.457180467335804,0.05742722438289942,False
Accuracy,Random Forest,Navie Bayse,1.3046561461068846,0.24882885339288743,False
Accuracy,Gradient Boosting,KNN,3.370999312316211,0.019868051523379407,False
Accuracy,Gradient Boosting,Decsion Tree,1.9364916731037116,0.11056669073123508,False
Accuracy,Gradient Boosting,Bagging,1.084652289093282,0.32758249926618466,False
Accuracy,Gradient Boosting,Adaboost,2.0761369963434992,0.09251500555042762,False
Accuracy,Gradient Boosting,Sigmoid SVM,4.567501391955697,0.006015590935586935,True
Accuracy,Gradient Boosting,Navie Bayse,3.0697030675746024,0.027793195443333186,False
Accuracy,KNN,Decsion Tree,-2.766992952647332,0.03950580967534135,False
Accuracy,KNN,Bagging,-3.0237157840738185,0.02929140326626835,False
Accuracy,KNN,Adaboost,-2.1255757547442573,0.08688962268453894,False
Accuracy,KNN,Sigmoid SVM,0.3779644730092288,0.7209712020732293,False
Accuracy,KNN,Navie Bayse,-0.8075728530872481,0.45602111641350684,False
Accuracy,Decsion Tree,Bagging,-0.7905694150420971,0.4650226382607559,False
Accuracy,Decsion Tree,Adaboost,-0.23702273156998785,0.8220441884436622,False
Accuracy,Decsion Tree,Sigmoid SVM,2.7937211830783135,0.03827626894253829,False
Accuracy,Decsion Tree,Navie Bayse,1.450952500220023,0.20649607521249372,False
Accuracy,Bagging,Adaboost,0.22249707974499386,0.8327301029268922,False
Accuracy,Bagging,Sigmoid SVM,2.9047375096555643,0.033604836673520384,False
Accuracy,Bagging,Navie Bayse,1.630820182633606,0.16385694799664607,False
Accuracy,Adaboost,Sigmoid SVM,2.5570415597837917,0.05082900076516207,False
Accuracy,Adaboost,Navie Bayse,2.2360679774997885,0.0755868184216125,False
Accuracy,Sigmoid SVM,Navie Bayse,-1.3968605915391572,0.22128923345344884,False
Precision,Linear SVM,Poly SVM,-1.0402466893439715,0.3458888602374425,False
Precision,Linear SVM,RBF SVM,-1.4088147993819458,0.21793586153738517,False
Precision,Linear SVM,Logistic Regression,-0.4193834240001986,0.6923449761891278,False
Precision,Linear SVM,Random Forest,-1.0423455938820074,0.3450044877384252,False
Precision,Linear SVM,Gradient Boosting,-1.720301292361894,0.1460053335784072,False
Precision,Linear SVM,KNN,-0.22699356178869962,0.8294177202465998,False
Precision,Linear SVM,Decsion Tree,-0.9372888191688827,0.39163965875403367,False
Precision,Linear SVM,Bagging,-1.0836875709930418,0.3279712523664001,False
Precision,Linear SVM,Adaboost,-1.3953136590561526,0.22172672254183182,False
Precision,Linear SVM,Sigmoid SVM,0.09753143013352282,0.9260933853800931,False
Precision,Linear SVM,Navie Bayse,-1.2635062755267947,0.2621158579699969,False
Precision,Poly SVM,RBF SVM,-0.3941389781986606,0.7097271496347095,False
